RazaoSocial;UF;Total_Despesas;Media_Trimestral;Desvio_Padrao
BRADESCO SAÚDE S.A.;RJ;322829816056.35;1460768398.4450226;3873998642.7536306
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;196868134997.86;532076040.5347567;1816896019.7924166
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;89968507352.89;316790518.8482042;923766678.442825
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;88238380836.99;200541774.62952274;758781365.8915883
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;68067241302.36;428095857.24754715;1144503371.2559395
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;49274637816.57;110978914.00128378;407512483.80256
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;43900316404.24;337694741.5710769;651387234.8979908
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;43199597357.94;258680223.70023954;1896995740.8746622
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;32557685318.670002;91197998.0915126;309791370.80031836
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;29644337466.09;80555264.85350543;267200705.62259108
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;26271642252.420002;70813051.89331537;265085493.52830985
OMINT SERVIÇOS DE SAÚDE S.A.;SP;19640590461.59;110340395.85162921;306354969.84864736
FUNDAÇÃO SAÚDE ITAÚ;MG;19330710334.54;191393171.6291089;334054728.2707534
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;18496575651.34;96336331.51739584;253772782.1949673
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;GO;18050303438.420002;176963759.2001961;433359414.3989549
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;16618771508.26;50666986.30567073;162014100.29778555
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;16004702390.34;84680965.02825397;691183020.0088402
FUNDAÇÃO CESP;SP;13611900078.32;115355085.40949152;249527070.17100543
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;13447928337.01;86204668.82698718;183489223.51561603
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;12870264538.19;117002404.89263637;211316767.08509195
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;11858827592.85;64101770.77216216;162943721.56330693
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO;SC;11704250153.09;28000598.45236842;91799586.63355206
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;SP;11470005744.37;44630372.546186775;126334427.3785488
BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A;SP;11290181741.06;289491839.51435894;594231619.592299
ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;RJ;9492632107.74;155616919.7990164;585725601.9610685
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;SP;9316883833.28;51191669.41362638;143615009.4959584
NOTRE DAME INTERMÉDICA MINAS GERAIS SAÚDE S.A.;CE;9102611143.02;31280450.663298972;87955896.54258995
UNIMED DE LONDRINA COOPERATIVA DE TRABALHO MÉDICO;PR;8886393360.46;32670563.825220585;93596276.29822041
UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA;RJ;8758962966.41;33688319.101576924;87049996.06712131
UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO;SP;8696823459.32;52390502.76698795;135005803.70598862
UNIMED SERRA GAUCHA/RS COOPERATIVA DE ASSISTENCIA A SAUDE LTDA;RS;8511604731.44;31878669.40614232;95005718.53727612
UNIMED MACEIO COOPERATIVA DE TRABALHO MÉDICO;AL;8502664352.57;28822591.025661018;93438652.52868178
UNIMED DE SANTOS COOP DE TRAB MEDICO;SP;7320780021.61;25157319.661890034;79701567.57108058
UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO;PR;7233013255.82;23637298.221633986;70636736.63651496
SANTA HELENA ASSISTÊNCIA MÉDICA S/A.;SP;7083031232.27;41180414.14110465;97002939.51594077
UNIMED DE RIBEIRAO PRETO - COOPERATIVA DE TRABALHO MÉDICO;SP;7082098524.17;34887184.84812808;84620633.69929071
UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA;MG;6711381388.31;25325967.503056604;70034378.05629197
CLINIPAM CLINICA PARANAENSE DE ASSISTENCIA MEDICA LTDA;CE;6526616710.360001;25494596.524843752;68121588.0185027
UNIMED BLUMENAU - COOPERATIVA DE TRABALHO MEDICO;SC;6356035808.440001;18264470.713908046;58413111.640557885
ODONTOPREV S/A;SP;6317645693.67;74325243.45494118;144132247.29203328
CENTRO TRASMONTANO DE SAO PAULO;SP;6315941150.89;60151820.48466667;123275985.59265146
FUNDAÇÃO SÃO FRANCISCO XAVIER;MG;6124279298.9800005;27837633.17718182;74108908.23386547
UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;PR;6094664264.56;13695874.751820225;52506457.90685739
UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.;SC;5942607226.56;14893752.447518798;49361117.73775406
UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;MG;5763094190.4;16465983.401142856;50926357.435895585
POSTAL SAÚDE CAIXA DE ASSISTÊNCIA E SAÚDE DOS EMPREGADOS DOS CORREIOS;DF;5761123493.62;55933237.80213592;189723028.61163402
UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO;SP;5590284468.1;18950116.841016952;58913178.13432863
